GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DOE,se.skillytaire.cases.doe.service.impl,VerhuurderServiceImpl,643,0,68,0,119,0,55,0,21,0
DOE,se.skillytaire.cases.doe.view.swing,JScrollPaneDemo.new WindowListener() {...},19,0,0,0,11,0,8,0,8,0
DOE,se.skillytaire.cases.doe.view.swing,StartTochtDialog,369,0,6,0,87,0,15,0,12,0
DOE,se.skillytaire.cases.doe.view.swing,ReserveringDialog,649,0,10,0,145,0,20,0,15,0
DOE,se.skillytaire.cases.doe.view.swing,JTextFieldDemo,519,0,8,0,123,0,17,0,13,0
DOE,se.skillytaire.cases.doe.view.swing,JScrollPaneDemo,114,0,2,0,23,0,5,0,4,0
DOE,se.skillytaire.cases.doe.view.swing,KarelsVerhuurbedrijfInspectie,1710,0,72,0,383,0,76,0,39,0
DOE,se.skillytaire.cases.doe.domain,BootBestaatNietException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,Fiets,10,0,0,0,4,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,BootBeschikbaarException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,MeerTocht,3,12,0,0,2,5,1,3,1,3
DOE,se.skillytaire.cases.doe.domain,RivierTocht,17,19,0,0,7,7,3,3,3,3
DOE,se.skillytaire.cases.doe.domain,VlootException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,Tocht,139,119,15,15,27,36,17,17,5,14
DOE,se.skillytaire.cases.doe.domain,BootException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,Tochtenbak,95,83,16,12,28,20,12,10,3,5
DOE,se.skillytaire.cases.doe.domain,Klantenbak,43,0,4,0,13,0,6,0,4,0
DOE,se.skillytaire.cases.doe.domain,RoeiBoot,7,8,0,0,3,2,2,1,2,1
DOE,se.skillytaire.cases.doe.domain,FietsTocht,12,0,0,0,6,0,3,0,3,0
DOE,se.skillytaire.cases.doe.domain,RivierTochtFactory,22,0,4,0,4,0,5,0,3,0
DOE,se.skillytaire.cases.doe.domain,Klant,45,0,2,0,15,0,10,0,9,0
DOE,se.skillytaire.cases.doe.domain,AbstractEntity,40,7,6,0,8,3,7,2,4,2
DOE,se.skillytaire.cases.doe.domain,BootInspectieException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,ElektrischeBoot,7,17,0,0,3,6,2,5,2,5
DOE,se.skillytaire.cases.doe.domain,Bak,0,31,0,0,0,10,0,6,0,6
DOE,se.skillytaire.cases.doe.domain,GeenBootVrijException,7,0,0,0,3,0,2,0,2,0
DOE,se.skillytaire.cases.doe.domain,Voertuig,115,178,14,18,29,49,20,20,10,14
DOE,se.skillytaire.cases.doe.domain,Vloot,138,59,26,8,33,16,18,7,4,4
DOE,se.skillytaire.cases.doe.domain,Boot,28,29,4,2,9,7,5,5,3,4
DOE,se.skillytaire.cases.doe.domain,VerhuurBedrijf,36,0,4,0,12,0,7,0,5,0
DOE,se.skillytaire.cases.doe.domain,MeerTochtFactory,20,0,4,0,3,0,5,0,3,0
DOE,se.skillytaire.cases.doe.service.toa,TransferableObjectAssembler,10,0,0,0,2,0,2,0,2,0
DOE,se.skillytaire.cases.doe.service.toa,BootTransferableObjectAssembler,89,0,3,0,25,0,7,0,5,0
DOE,se.skillytaire.cases.doe.service.toa,BootTransferableObjectAssembler.new Object() {...},19,0,0,0,1,0,1,0,1,0
DOE,se.skillytaire.cases.doe.service.toa,KlantTransferableObjectAssembler,54,0,0,0,16,0,5,0,5,0
DOE,se.skillytaire.cases.doe.service,KlantInformatie,27,0,0,0,10,0,5,0,5,0
DOE,se.skillytaire.cases.doe.service,StartTochtInformatie,49,0,2,0,15,0,9,0,8,0
DOE,se.skillytaire.cases.doe.service,TochtEinde,15,0,0,0,6,0,3,0,3,0
DOE,se.skillytaire.cases.doe.service,BootInformatie,130,0,2,0,30,0,20,0,19,0
DOE,se.skillytaire.cases.doe.common,TochtType,38,0,0,0,2,0,4,0,4,0
DOE,se.skillytaire.cases.doe.common,VoertuigType,9,39,0,0,0,4,2,2,2,2
